# iHydroCal SWAT+ parameter database
# Edit flag=1 to activate a parameter. chg_type can be blank; iHydroCal will use pctchg by default.
"# obj_ids blank means all objects. Use comma-separated IDs like ""1,2,3"" for selected objects."
# Generated from:,"cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1"
223,,,,,,,,,,,,,,,,,,,,,,,,
flag,name,chg_type,val,obj_typ,obj_ids,conds,lyr1,lyr2,year1,year2,day1,day2,obj_tot,abs_min,abs_max,parlbnd,parubnd,partrans,pargp,scale,offset,dercom,units,description
0,rsdco,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.02,0.1,-50,50,none,rsdco,1.0,0.0,1,null,
0,percop,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,1,-50,50,none,percop,1.0,0.0,1,null,
0,msk_co1,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,10,-50,50,none,msk_co1,1.0,0.0,1,null,
0,msk_co2,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,10,-50,50,none,msk_co2,1.0,0.0,1,null,
0,msk_x,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,0.3,-50,50,none,msk_x,1.0,0.0,1,null,
0,cdn,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,3,-50,50,none,cdn,1.0,0.0,1,null,
0,tb_adj,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,1,-50,50,none,tb_adj,1.0,0.0,1,null,
0,sdnco,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,1,-50,50,none,sdnco,1.0,0.0,1,null,
0,n_updis,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,100,-50,50,none,n_updis,1.0,0.0,1,null,
0,p_updis,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,100,-50,50,none,p_updis,1.0,0.0,1,null,
0,dorm_hr,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,24,-50,50,none,dorm_hr,1.0,0.0,1,hours,
0,rs1,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.15,1.82,-50,50,none,rs1,1.0,0.0,1,m/hr,
0,rs2,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.001,0.5,-50,50,none,rs2,1.0,0.0,1,(mg_disP-P)/((m**2)*hr),
0,rs3,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.001,2,-50,50,none,rs3,1.0,0.0,1,(mg_NH4-N)/((m**2)*hr),
0,rs4,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.001,0.1,-50,50,none,rs4,1.0,0.0,1,1/day_or_1/hr,
0,rs5,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.001,0.1,-50,50,none,rs5,1.0,0.0,1,1/day_or_1/hr,
0,rs6,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.01,10,-50,50,none,rs6,1.0,0.0,1,1/day,
0,rs7,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.01,10,-50,50,none,rs7,1.0,0.0,1,(mg_ANC),
0,rk1,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.02,3.4,-50,50,none,rk1,1.0,0.0,1,1/day_or_1/hr,
0,rk2,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,100,-50,50,none,rk2,1.0,0.0,1,1/day_or_1/hr,
0,rk3,,1.0e-7,swq,,0,0,0,0,0,0,0,0,-0.36,0.36,-50,50,none,rk3,1.0,0.0,1,1/day_or_1/hr,
0,rk4,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,100,-50,50,none,rk4,1.0,0.0,1,((m**2)*day),
0,rk5,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.05,4,-50,50,none,rk5,1.0,0.0,1,1/day,
0,rk6,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,10,-50,50,none,rk6,1.0,0.0,1,1/day,
0,bc1,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.1,1,-50,50,none,bc1,1.0,0.0,1,1/hr,
0,bc2,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.2,2,-50,50,none,bc2,1.0,0.0,1,1/hr,
0,bc3,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.2,0.4,-50,50,none,bc3,1.0,0.0,1,1/hr,
0,bc4,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0.01,0.7,-50,50,none,bc4,1.0,0.0,1,1/hr,
0,rch_dox,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,50,-50,50,none,rch_dox,1.0,0.0,1,mg/L,
0,rch_cbod,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,1000,-50,50,none,rch_cbod,1.0,0.0,1,mg/L,
0,algae,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,200,-50,50,none,algae,1.0,0.0,1,mg/L,
0,organicn,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,100,-50,50,none,organicn,1.0,0.0,1,mg/L,
0,ammonian,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,50,-50,50,none,ammonian,1.0,0.0,1,mg/L,
0,nitriten,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,100,-50,50,none,nitriten,1.0,0.0,1,mg/L,
0,organicp,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,25,-50,50,none,organicp,1.0,0.0,1,mg/L,
0,disolvp,,1.0e-7,swq,,0,0,0,0,0,0,0,0,0,25,-50,50,none,disolvp,1.0,0.0,1,mg/L,
0,chw,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,1000,-50,50,none,chw,1.0,0.0,1,m,
0,chd,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,30,-50,50,none,chd,1.0,0.0,1,m,
0,chs,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.001,10,-50,50,none,chs,1.0,0.0,1,m/m,
0,chl,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.05,500,-50,50,none,chl,1.0,0.0,1,km,
0,chn,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.01,0.3,-50,50,none,chn,1.0,0.0,1,null,
0,chk,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.01,500,-50,50,none,chk,1.0,0.0,1,mm/hr,
0,cherod,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.05,0.6,-50,50,none,cherod,1.0,0.0,1,null,
0,cov,,1.0e-7,rte,,0,0,0,0,0,0,0,0,-0.001,10,-50,50,none,cov,1.0,0.0,1,null,
0,flood_sedfrac,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.1,0.9,-50,50,none,flood_sedfrac,1.0,0.0,1,fraction,
0,d50,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.00001,1000,-50,50,none,d50,1.0,0.0,1,mm,
0,ch_clay,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,100,-50,50,none,ch_clay,1.0,0.0,1,%,
0,carbon,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,50,-50,50,none,carbon,1.0,0.0,1,%,
0,ch_bd,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.9,1.9,-50,50,none,ch_bd,1.0,0.0,1,(g/cm**3),
0,chss,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,5,-50,50,none,chss,1.0,0.0,1,null,
0,bankfull_flo,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.5,1.5,-50,50,none,bankfull_flo,1.0,0.0,1,fraction,
